title,author,length
Junkyard Riders,By: Faith Hunter,Length: 4 hrs and 46 mins
Heart of a Goon,By: Jahquel J.,Length: 10 hrs
Guild War,By: J J Bookerson,Length: 27 hrs and 39 mins
A Parade of Horribles,By: Matt Dinniman,Length: Not Yet Known
Ground State,By: CrCVaig Alanson,Length: 20 hrs and 33 mins
System Clash,By: Sunrise,Length: 25 hrs and 27 mins
Dirty Valentine,By: Liliana Hart,Length: 7 hrs and 25 mins
The Primal Hunter 13,By: Zogarth,Length: 20 hrs and 10 mins
The Fanged and the Furious,"By: Landon Scott, Evan Barker",Length: 10 hrs and 5 mins
Defiance of the Fall 16,"By: TheFirstDefier, JF Brink",Length: 22 hrs and 17 mins
Hard Feelings,By: Jennifer Millikin,Length: 10 hrs and 16 mins
The Fourth Option,"By: Jack Carr, M.P. Woodward",Length: 11 hrs
"Path of the Slayer, Book 2",By: Hunter Mythos,Length: 17 hrs and 50 mins
The Path of Ascension Book 10.5,By: C. Mantis,Length: 4 hrs and 43 mins
Rites of the Starling,"By: Devney Perry, Michelle Gyo, Kerstin Fricke",Length: 18 hrs
First Among the Dead,By: JD Kirk,Length: 4 hrs and 26 mins
Out Law,By: Jim Butcher,Length: 4 hrs and 10 mins
"Classroom of the Elite: Year 2, Vol. 12",By: Syougo Kinugasa,Length: 9 hrs and 23 mins
The Viper's Lady,By: Elle Parker,Length: 10 hrs and 43 mins
Kill: One,By: Blake Banner,Length: 7 hrs and 1 min
